Name  Fastq
TDM_0001  TDM_0001_S21_L003_R1_001.fastq.gz
TDM_0002  TDM_0002_S14_L002_R1_001.fastq.gz
TDM_0003  TDM_0003_S23_L003_R1_001.fastq.gz
TDM_0004  TDM_0004_S8_L001_R1_001.fastq.gz
TDM_0005  TDM_0005_S6_L001_R1_001.fastq.gz
TDM_0006  TDM_0006_S56_L007_R1_001.fastq.gz
TDM_0007  TDM_0007_S24_L003_R1_001.fastq.gz
TDM_0008  TDM_0008_S19_L003_R1_001.fastq.gz
TDM_0009  TDM_0009_S16_L002_R1_001.fastq.gz
TDM_0010  TDM_0010_S61_L008_R1_001.fastq.gz
TDM_0011  TDM_0011_S28_L004_R1_001.fastq.gz
TDM_0012  TDM_0012_S39_L005_R1_001.fastq.gz
TDM_0013  TDM_0013_S52_L007_R1_001.fastq.gz,TDM_0013_S5_L008_R1_001.fastq.gz
TDM_0014  TDM_0014_S30_L004_R1_001.fastq.gz
TDM_0015  TDM_0015_S10_L002_R1_001.fastq.gz
TDM_0016  TDM_0016_S40_L005_R1_001.fastq.gz
TDM_0017  TDM_0017_S7_L001_R1_001.fastq.gz
TDM_0018  TDM_0018_S60_L008_R1_001.fastq.gz
TDM_0019  TDM_0019_S34_L005_R1_001.fastq.gz
TDM_0020  TDM_0020_S5_L001_R1_001.fastq.gz
TDM_0021  TDM_0021_S48_L006_R1_001.fastq.gz
TDM_0022  TDM_0022_S55_L007_R1_001.fastq.gz
TDM_0023  TDM_0023_S59_L008_R1_001.fastq.gz
TDM_0024  TDM_0024_S47_L006_R1_001.fastq.gz
TDM_0025  TDM_0025_S58_L008_R1_001.fastq.gz
TDM_0026  TDM_0026_S2_L008_R1_001.fastq.gz,TDM_0026_S32_L004_R1_001.fastq.gz
TDM_0027  TDM_0027_S64_L008_R1_001.fastq.gz
TDM_0028  TDM_0028_S1_L001_R1_001.fastq.gz
TDM_0029  TDM_0029_S2_L001_R1_001.fastq.gz
TDM_0030  TDM_0030_S57_L008_R1_001.fastq.gz
TDM_0031  TDM_0031_S27_L004_R1_001.fastq.gz
TDM_0032  TDM_0032_S11_L002_R1_001.fastq.gz
TDM_0033  TDM_0033_S1_L001_R1_001.fastq.gz
TDM_0034  TDM_0034_S13_L002_R1_001.fastq.gz
TDM_0035  TDM_0035_S15_L002_R1_001.fastq.gz
TDM_0036  TDM_0036_S9_L002_R1_001.fastq.gz
TDM_0037  TDM_0037_S41_L006_R1_001.fastq.gz
TDM_0038  TDM_0038_S10_L002_R1_001.fastq.gz
TDM_0039  TDM_0039_S38_L005_R1_001.fastq.gz
TDM_0040  TDM_0040_S3_L008_R1_001.fastq.gz,TDM_0040_S46_L006_R1_001.fastq.gz
TDM_0041  TDM_0041_S53_L007_R1_001.fastq.gz
TDM_0042  TDM_0042_S54_L007_R1_001.fastq.gz
TDM_0043  TDM_0043_S49_L007_R1_001.fastq.gz
TDM_0044  TDM_0044_S15_L002_R1_001.fastq.gz
TDM_0045  TDM_0045_S4_L001_R1_001.fastq.gz
TDM_0046  TDM_0046_S25_L004_R1_001.fastq.gz
TDM_0047  TDM_0047_S45_L006_R1_001.fastq.gz
TDM_0048  TDM_0048_S12_L002_R1_001.fastq.gz
TDM_0049  TDM_0049_S24_L003_R1_001.fastq.gz
TDM_0050  TDM_0050_S29_L004_R1_001.fastq.gz
TDM_0051  TDM_0051_S18_L003_R1_001.fastq.gz
TDM_0052  TDM_0052_S37_L005_R1_001.fastq.gz
TDM_0053  TDM_0053_S36_L005_R1_001.fastq.gz
