Name	Collection_Date	Dose_Group	Sex
TDM-0001	Day1_LOW_F	LOW	F
TDM-0002	Day1_LOW_F	LOW	F
TDM-0003	Day1_LOW_F	LOW	F
TDM-0004	Day1_LOW_F	LOW	F
TDM-0005	Day1_LOW_M	LOW	M
TDM-0006	Day1_LOW_M	LOW	M
TDM-0007	Day1_HIGH_M	HIGH	M
TDM-0008	Day1_HIGH_F	HIGH	F
TDM-0009	Day1_HIGH_F	HIGH	F
TDM-0010	Day1_HIGH_F	HIGH	F
TDM-0011	Day1_HIGH_F	HIGH	F
TDM-0012	Day1_HIGH_M	HIGH	M
TDM-0013	Day1_MOCK_M	MOCK	M
TDM-0014	Day1_MOCK_F	MOCK	F
TDM-0015	Day1_MOCK_F	MOCK	F
TDM-0016	Day1_MOCK_F	MOCK	F
TDM-0017	Day1_MOCK_M	MOCK	M
TDM-0018	Day1_MOCK_F	MOCK	F
TDM-0019	Day2_LOW_M	LOW	M
TDM-0020	Day2_LOW_M	LOW	M
TDM-0021	Day2_LOW_F	LOW	F
TDM-0022	Day2_LOW_F	LOW	F
TDM-0023	Day2_LOW_F	LOW	F
TDM-0024	Day2_LOW_F	LOW	F
TDM-0025	Day2_HIGH_M	HIGH	M
TDM-0026	Day2_HIGH_M	HIGH	M
TDM-0027	Day2_HIGH_F	HIGH	F
TDM-0028	Day2_HIGH_F	HIGH	F
TDM-0029	Day2_HIGH_F	HIGH	F
TDM-0030	Day2_HIGH_F	HIGH	F
TDM-0031	Day2_MOCK_M	MOCK	M
TDM-0032	Day2_MOCK_M	MOCK	M
TDM-0033	Day2_MOCK_F	MOCK	F
TDM-0034	Day2_MOCK_F	MOCK	F
TDM-0035	Day2_MOCK_F	MOCK	F
TDM-0036	Day2_MOCK_F	MOCK	F
TDM-0037	Day3_LOW_M	LOW	M
TDM-0038	Day3_LOW_F	LOW	F
TDM-0039	Day3_LOW_M	LOW	M
TDM-0040	Day3_LOW_M	LOW	M
TDM-0041	Day3_LOW_F	LOW	F
TDM-0042	Day3_LOW_F	LOW	F
TDM-0043	Day3_HIGH_M	HIGH	M
TDM-0044	Day3_HIGH_F	HIGH	F
TDM-0045	Day3_HIGH_F	HIGH	F
TDM-0046	Day3_HIGH_M	HIGH	M
TDM-0047	Day3_HIGH_M	HIGH	M
TDM-0048	Day3_HIGH_F	HIGH	F
TDM-0049	Day3_MOCK_F	MOCK	F
TDM-0050	Day3_MOCK_F	MOCK	F
TDM-0051	Day3_MOCK_F	MOCK	F
TDM-0052	Day3_MOCK_M	MOCK	M
TDM-0053	Day3_MOCK_M	MOCK	M
TDM-0054	Day3_MOCK_M	MOCK	M
TDM-0055	Day4_LOW_M	LOW	M
TDM-0056	Day4_LOW_M	LOW	M
TDM-0057	Day4_LOW_F	LOW	F
TDM-0058	Day4_LOW_F	LOW	F
TDM-0059	Day4_LOW_F	LOW	F
TDM-0060	Day4_LOW_F	LOW	F
TDM-0061	Day4_HIGH_F	HIGH	F
TDM-0062	Day4_HIGH_M	HIGH	M
TDM-0063	Day4_HIGH_F	HIGH	F
TDM-0064	Day4_HIGH_M	HIGH	M
TDM-0065	Day4_HIGH_M	HIGH	M
TDM-0066	Day4_HIGH_F	HIGH	F
TDM-0067	Day4_MOCK_F	MOCK	F
TDM-0068	Day4_MOCK_F	MOCK	F
TDM-0069	Day4_MOCK_F	MOCK	F
TDM-0070	Day4_MOCK_M	MOCK	M
TDM-0071	Day4_MOCK_M	MOCK	M
TDM-0072	Day4_MOCK_M	MOCK	M
TDM-0073	Day5_LOW_M	LOW	M
TDM-0074	Day5_LOW_M	LOW	M
TDM-0075	Day5_LOW_F	LOW	F
TDM-0076	Day5_LOW_F	LOW	F
TDM-0077	Day5_LOW_F	LOW	F
TDM-0078	Day5_LOW_M	LOW	M
TDM-0079	Day5_HIGH_F	HIGH	F
TDM-0080	Day5_HIGH_F	HIGH	F
TDM-0081	Day5_HIGH_F	HIGH	F
TDM-0082	Day5_HIGH_M	HIGH	M
TDM-0083	Day5_HIGH_M	HIGH	M
TDM-0084	Day5_HIGH_M	HIGH	M
TDM-0085	Day5_MOCK_F	MOCK	F
TDM-0086	Day5_MOCK_F	MOCK	F
TDM-0087	Day5_MOCK_F	MOCK	F
TDM-0088	Day5_MOCK_M	MOCK	M
TDM-0089	Day5_MOCK_M	MOCK	M
TDM-0090	Day5_MOCK_M	MOCK	M
